,ageRange,gender,isLGBT+,continent,gmtOffset,education,isStudent,employmentStatus,weeklyConsFreq,sociallyAnxious,consumptionSources,platform,isPayer,prefersSubs,visQuality,storyQuality,characterRelatability,firstFavGenre,secondFavGenre,vTuberSub,consumesHMat,socInc,wantsMoreSeinen
425,1.0,Man,0.0,North America,-5.0,HS,0.0,FullTimer,4.0,0.0,Anime;Doujinshi,OTHER,1.0,1.0,8.0,9.0,0.0,Rom/Dram,Psycho,1.0,1.0,No,1.0
426,2.0,Man,0.0,Europe,2.0,BA/BS,1.0,Unemployed,7.0,1.0,Anime;Manga;Doujinshi,AFSS,1.0,1.0,6.0,5.0,7.0,Comedy/SoL,Psycho,0.0,1.0,Maybe,1.0
428,1.0,Man,0.0,North America,-5.0,HS,1.0,FullTimer,4.0,0.0,Anime,OTHER,0.0,1.0,3.0,7.0,2.0,Comedy/SoL,Psycho,0.0,1.0,Yes,1.0
430,1.0,Man,0.0,Europe,1.0,HS,1.0,FullTimer,7.0,0.0,Anime;Light Novels,OTHER,0.0,1.0,6.0,7.0,4.0,Fantasy,Rom/Dram,0.0,1.0,Maybe,1.0
432,1.0,Man,0.0,Europe,1.0,HSDropout,1.0,Unemployed,1.0,0.0,Anime;Manga,AFSS,1.0,1.0,8.0,10.0,3.0,Rom/Dram,Comedy/SoL,1.0,1.0,No,1.0
433,1.0,Man,1.0,Europe,1.0,BA/BS,1.0,Unemployed,4.0,1.0,Anime;Manga,AFSS,0.0,1.0,8.0,9.0,8.0,Rom/Dram,Psycho,0.0,0.0,Yes,1.0
435,2.0,Man,0.0,Europe,1.0,BA/BS,1.0,FullTimer,6.0,0.0,Anime;Manga;Doujinshi;Light Novels;Visual Novels,AFSS,0.0,1.0,7.0,10.0,3.0,Comedy/SoL,Psycho,0.0,1.0,Yes,1.0
436,2.0,Man,0.0,Europe,0.0,HS,0.0,PartTimer,3.0,1.0,Anime,OTHER,1.0,1.0,8.0,10.0,5.0,Rom/Dram,Comedy/SoL,1.0,1.0,Maybe,1.0
437,1.0,Man,0.0,Europe,1.0,BA/BS,0.0,PartTimer,5.0,0.0,Anime;Manga;Doujinshi;Light Novels;Visual Novels,AFSS,1.0,1.0,6.0,9.0,9.0,Comedy/SoL,Action,1.0,1.0,No,1.0
438,1.0,Man,0.0,South America,-4.0,BA/BS,1.0,Unemployed,4.0,1.0,Anime;Manga;Light Novels,OTHER,0.0,1.0,4.0,10.0,3.0,Comedy/SoL,Supernatural,0.0,1.0,Yes,1.0
440,1.0,Man,0.0,Asia,8.0,HSDropout,1.0,Unemployed,6.0,1.0,Anime;Manga;Doujinshi,AFSS,0.0,1.0,9.0,7.0,4.0,Action,SciFi/M&M,1.0,1.0,Maybe,1.0
441,2.0,Man,0.0,Europe,1.0,BA/BS,0.0,FullTimer,7.0,0.0,Anime;Manga;Light Novels,OTHER,1.0,1.0,8.0,4.0,8.0,SciFi/M&M,Psycho,0.0,0.0,Yes,1.0
442,1.0,Man,0.0,North America,-8.0,HS,1.0,Unemployed,7.0,1.0,Anime;Manga;Doujinshi;Light Novels,OTHER,0.0,1.0,8.0,7.0,7.0,Action,Rom/Dram,0.0,1.0,Maybe,1.0
443,1.0,Man,0.0,North America,-5.0,AA/AS,1.0,PartTimer,7.0,1.0,Anime;Manga;Doujinshi;Light Novels;Visual Novels,AFSS,1.0,1.0,10.0,10.0,7.0,Action,Rom/Dram,1.0,1.0,Yes,1.0
444,1.0,Man,0.0,North America,-7.0,HS,1.0,Unemployed,7.0,0.0,Anime;Manga;Doujinshi;Visual Novels,AFSS,1.0,1.0,7.0,10.0,2.0,Rom/Dram,Action,0.0,1.0,Maybe,1.0
445,1.0,Woman,1.0,North America,-8.0,BA/BS,1.0,FullTimer,7.0,1.0,Anime;Manga;Light Novels;Visual Novels,AFSS,1.0,1.0,8.0,9.0,2.0,Action,Rom/Dram,0.0,1.0,Yes,1.0
446,1.0,Man,0.0,North America,-5.0,HS,0.0,PartTimer,3.0,0.0,Anime;Manga;Doujinshi,AFSS,0.0,1.0,0.0,10.0,6.0,Rom/Dram,Fantasy,1.0,1.0,Maybe,1.0
447,0.0,Man,0.0,North America,-5.0,HS,1.0,PartTimer,4.0,0.0,Anime;Manga;Light Novels,AFSS,1.0,1.0,7.0,10.0,5.0,Comedy/SoL,SciFi/M&M,0.0,1.0,No,0.0
448,1.0,Man,0.0,North America,-6.0,HS,1.0,Unemployed,3.0,0.0,Anime;Manga;Visual Novels,OTHER,1.0,1.0,7.0,10.0,0.0,Psycho,SciFi/M&M,1.0,0.0,Maybe,1.0
449,2.0,Man,0.0,North America,-8.0,BA/BS,0.0,FullTimer,4.0,0.0,Anime;Manga,GSS,1.0,1.0,7.0,9.0,3.0,Comedy/SoL,Rom/Dram,0.0,0.0,Yes,1.0
450,3.0,Woman,1.0,North America,-8.0,HS,0.0,PartTimer,7.0,1.0,Anime;Manga;Doujinshi;Visual Novels,OTHER,0.0,1.0,7.0,10.0,4.0,Supernatural,SciFi/M&M,0.0,1.0,Yes,1.0
451,1.0,Man,0.0,Asia,3.0,BA/BS,1.0,Unemployed,5.0,0.0,Anime;Light Novels;Visual Novels,OTHER,0.0,1.0,10.0,10.0,5.0,Psycho,Fantasy,0.0,0.0,Maybe,1.0
453,2.0,Man,0.0,Australia,13.0,BA/BS,0.0,Unemployed,7.0,1.0,Anime;Manga;Doujinshi;Light Novels;Visual Novels,OTHER,1.0,1.0,8.0,8.0,5.0,Fantasy,Comedy/SoL,1.0,1.0,Maybe,1.0
